celebrity_name             , ballroom_partner                        , celebrity_industry      , celebrity_homestate, celebrity_homecountry/region, celebrity_age_during_season, season, results           , placement, week, judge_total       , active, n_active, elim_week_official, elim_after_week
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    4, 23.0              , True  ,        9,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    4, 24.0              , True  ,        9,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    4, 28.0              , True  ,        9,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    4, 16.0              , True  ,        9,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    4, 21.0              , True  ,        9,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    4, 16.0              , True  ,        9,                4.0, True
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    4,  0.0              , False ,        9,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    4,  0.0              , False ,        9,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,    5, 30.0              , True  ,        8,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,    5, 17.0              , True  ,        8,                8.0, False
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,    5, 13.0              , True  ,        8,                5.0, True
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    5, 21.0              , True  ,        8,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    5, 24.0              , True  ,        8,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    5, 25.0              , True  ,        8,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    5, 18.0              , True  ,        8,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    5, 28.0              , True  ,        8,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    5,  0.0              , False ,        8,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    5,  0.0              , False ,        8,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    5,  0.0              , False ,        8,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,    6, 28.0              , True  ,        7,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,    6, 21.0              , True  ,        7,                8.0, False
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,    6,  0.0              , False ,        7,                5.0, False
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    6, 23.0              , True  ,        7,                6.0, True
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    6, 24.0              , True  ,        7,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    6, 27.0              , True  ,        7,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    6, 19.0              , True  ,        7,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    6, 28.0              , True  ,        7,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    6,  0.0              , False ,        7,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    6,  0.0              , False ,        7,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    6,  0.0              , False ,        7,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,    7, 27.0              , True  ,        6,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,    7, 19.0              , True  ,        6,                8.0, False
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,    7,  0.0              , False ,        6,                5.0, False
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    7,  0.0              , False ,        6,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    7, 27.0              , True  ,        6,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    7, 29.5              , True  ,        6,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    7, 22.5              , True  ,        6,                7.0, True
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    7, 29.5              , True  ,        6,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    7,  0.0              , False ,        6,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    7,  0.0              , False ,        6,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    7,  0.0              , False ,        6,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,    8, 29.0              , True  ,        5,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,    8, 19.0              , True  ,        5,                8.0, True
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,    8,  0.0              , False ,        5,                5.0, False
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    8,  0.0              , False ,        5,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    8, 23.5              , True  ,        5,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    8, 27.5              , True  ,        5,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    8,  0.0              , False ,        5,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    8, 26.5              , True  ,        5,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    8,  0.0              , False ,        5,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    8,  0.0              , False ,        5,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    8,  0.0              , False ,        5,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,    9, 29.5              , True  ,        4,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,    9,  0.0              , False ,        4,                8.0, False
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,    9,  0.0              , False ,        4,                5.0, False
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,    9,  0.0              , False ,        4,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,    9, 29.0              , True  ,        4,                9.0, True
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,    9, 30.0              , True  ,        4,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,    9,  0.0              , False ,        4,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,    9, 30.0              , True  ,        4,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,    9,  0.0              , False ,        4,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,    9,  0.0              , False ,        4,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,    9,  0.0              , False ,        4,                3.0, False
Apolo Anton Ohno           , Julianne Hough                          , Athlete                 , Washington         , United States               ,                          24,      4, 1st Place         ,         1,   10, 29.3332           , True  ,        3,                   , False
Billy Ray Cyrus            , Karina Smirnoff                         , Singer/Rapper           , Kentucky           , United States               ,                          45,      4, Eliminated Week 8 ,         5,   10,  0.0              , False ,        3,                8.0, False
Clyde Drexler              , Elena Grinenko                          , Athlete                 , Louisiana          , United States               ,                          44,      4, Eliminated Week 5 ,         8,   10,  0.0              , False ,        3,                5.0, False
Heather Mills              , Jonathan Roberts                        , Model                   ,                    , England                     ,                          39,      4, Eliminated Week 6 ,         7,   10,  0.0              , False ,        3,                6.0, False
Ian Ziering                , Cheryl Burke                            , Actor/Actress           , New Jersey         , United States               ,                          42,      4, Eliminated Week 9 ,         4,   10,  0.0              , False ,        3,                9.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          30,      4, 2nd Place         ,         2,   10, 28.6665           , True  ,        3,                   , False
John Ratzenberger          , Edyta Sliwinska                         , Actor/Actress           , Connecticut        , United States               ,                          59,      4, Eliminated Week 7 ,         6,   10,  0.0              , False ,        3,                7.0, False
Laila Ali                  , Maksim Chmerkoskiy                      , Athlete                 , Florida            , United States               ,                          29,      4, 3rd Place         ,         3,   10, 28.333200000000005, True  ,        3,                   , False
Leeza Gibbons              , Tony Dovolani                           , TV Personality          , South Carolina     , United States               ,                          50,      4, Eliminated Week 4 ,         9,   10,  0.0              , False ,        3,                4.0, False
Paulina Porizkova          , Alec Mazo                               , Model                   ,                    , Czechoslovakia              ,                          41,      4, Eliminated Week 2 ,        11,   10,  0.0              , False ,        3,                2.0, False
Shandi Finnessey           , Brian Fortuna                           , Beauty Pagent           , Missouri           , United States               ,                          28,      4, Eliminated Week 3 ,        10,   10,  0.0              , False ,        3,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    1, 21.0              , True  ,       12,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    1, 21.0              , True  ,       12,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    1, 18.0              , True  ,       12,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    1, 25.0              , True  ,       12,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    1, 24.0              , True  ,       12,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    1, 21.0              , True  ,       12,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    1, 16.0              , True  ,       12,                1.0, True
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    1, 21.0              , True  ,       12,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    1, 21.0              , True  ,       12,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    1, 24.0              , True  ,       12,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    1, 26.0              , True  ,       12,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    1, 19.0              , True  ,       12,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    2, 21.0              , True  ,       11,                2.0, True
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    2, 21.0              , True  ,       11,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    2, 21.0              , True  ,       11,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    2, 27.0              , True  ,       11,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    2, 21.0              , True  ,       11,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    2, 21.0              , True  ,       11,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    2,  0.0              , False ,       11,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    2, 24.0              , True  ,       11,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    2, 18.0              , True  ,       11,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    2, 23.0              , True  ,       11,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    2, 26.0              , True  ,       11,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    2, 15.0              , True  ,       11,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    3,  0.0              , False ,       10,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    3, 23.0              , True  ,       10,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    3, 21.0              , True  ,       10,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    3, 24.0              , True  ,       10,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    3, 27.0              , True  ,       10,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    3, 26.0              , True  ,       10,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    3,  0.0              , False ,       10,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    3, 26.0              , True  ,       10,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    3, 20.0              , True  ,       10,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    3, 27.0              , True  ,       10,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    3, 27.0              , True  ,       10,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    3, 18.0              , True  ,       10,                3.0, True
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    4,  0.0              , False ,        9,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    4, 27.0              , True  ,        9,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    4, 23.0              , True  ,        9,                4.0, True
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    4, 27.0              , True  ,        9,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    4, 26.0              , True  ,        9,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    4, 27.0              , True  ,        9,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    4,  0.0              , False ,        9,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    4, 26.0              , True  ,        9,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    4, 22.0              , True  ,        9,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    4, 26.0              , True  ,        9,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    4, 30.0              , True  ,        9,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    4,  0.0              , False ,        9,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    5,  0.0              , False ,        8,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    5, 26.0              , True  ,        8,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    5,  0.0              , False ,        8,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    5, 23.0              , True  ,        8,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    5, 26.0              , True  ,        8,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    5, 25.0              , True  ,        8,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    5,  0.0              , False ,        8,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    5, 21.0              , True  ,        8,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    5, 21.0              , True  ,        8,                5.0, True
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    5, 29.0              , True  ,        8,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    5, 28.0              , True  ,        8,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    5,  0.0              , False ,        8,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    6,  0.0              , False ,        7,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    6, 25.0              , True  ,        7,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    6,  0.0              , False ,        7,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    6, 28.0              , True  ,        7,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    6, 22.0              , True  ,        7,                7.0, False
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    6, 27.0              , True  ,        7,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    6,  0.0              , False ,        7,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    6, 23.0              , True  ,        7,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    6,  0.0              , False ,        7,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    6, 30.0              , True  ,        7,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    6, 25.0              , True  ,        7,                6.0, True
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    6,  0.0              , False ,        7,                3.0, False
Albert Reed                , Anna Trebunskaya                        , Model                   , Florida            , United States               ,                          22,      5, Eliminated Week 2 ,        11,    7,  0.0              , False ,        6,                2.0, False
Cameron Mathison           , Edyta Sliwinska                         , Actor/Actress           ,                    , Canada                      ,                          38,      5, Eliminated Week 8 ,         5,    7, 25.5              , True  ,        6,                8.0, False
Floyd Mayweather Jr.       , Karina Smirnoff                         , Athlete                 , Michigan           , United States               ,                          30,      5, Eliminated Week 4 ,         9,    7,  0.0              , False ,        6,                4.0, False
Helio Castroneves          , Julianne Hough                          , Racing Driver           ,                    , Brazil                      ,                          32,      5, 1st Place         ,         1,    7, 26.0              , True  ,        6,                   , False
Jane Seymour               , Tony Dovolani                           , Actor/Actress           ,                    , England                     ,                          56,      5, Eliminated Week 7 ,         6,    7, 25.0              , True  ,        6,                7.0, True
Jennie Garth               , Derek Hough                             , Actor/Actress           , Illinois           , United States               ,                          35,      5, Eliminated Week 9 ,         4,    7, 26.5              , True  ,        6,                9.0, False
Josie Maran                , Alec Mazo                               , Model                   , California         , United States               ,                          29,      5, Eliminated Week 1 ,        12,    7,  0.0              , False ,        6,                1.0, False
Marie Osmond               , Jonathan Roberts                        , Singer/Rapper           , Utah               , United States               ,                          47,      5, 3rd Place         ,         3,    7, 26.0              , True  ,        6,                   , False
Mark Cuban                 , Kym Johnson                             , TV Personality          , Pennsylvania       , United States               ,                          49,      5, Eliminated Week 5 ,         8,    7,  0.0              , False ,        6,                5.0, False
Mel B                      , Maksim Chmerkoskiy                      , Singer/Rapper           ,                    , England                     ,                          32,      5, 2nd Place         ,         2,    7, 27.0              , True  ,        6,                   , False
Sabrina Bryan              , Mark Ballas                             , Actor/Actress           , California         , United States               ,                          23,      5, Eliminated Week 6 ,         7,    7,  0.0              , False ,        6,                6.0, False
Wayne Newton               , Cheryl Burke                            , Singer/Rapper           , Virginia           , United States               ,                          65,      5, Eliminated Week 3 ,        10,    7,  0.0              , False ,        6,                3.0, False
